method,category
Roasting,Roasting
Barbecuing,Roasting
Grilling,Roasting
Broiling,Roasting
Rotisserie,Roasting
Searing,Roasting
Baking,Baking
Baking Blind,Baking
Flashbaking,Baking
Boiling,Boiling
Blanching,Boiling
Braising,Boiling
Coddling,Boiling
Double steaming,Boiling
Infusion,Boiling
Poaching,Boiling
Pressure cooking,Boiling
Simmering,Boiling
Smothering,Boiling
Steaming,Boiling
Steeping,Boiling
Stewing,Boiling
Vacuum flask cooking,Boiling
Fry,Frying
Deep frying,Frying
Hot salt frying,Frying
Hot sand frying,Frying
Pan frying,Frying
Pressure frying,Frying
Saut̩ing,Frying
Stir frying,Frying
Smoking,Smoking
