fruit
Abiu 
Acai 
Acerola 
Ackee 
African cherry orange 
African mango 
African moringa 
Ambarella 
American Black Elderberry 
American grape: North American species 
American Hazelnut 
American Pawpaw 
American plum 
American Red Elderberry 
Apple
Apricot 
Araza 
Arhat 
Atemoya 
Avocado 
Babaco 
Bacupari 
Bacuri 
Bael
Woodapple 
Banana 
Barbadine 
Batuan 
Beach Plum 
Bearberry 
Betel Nut 
Bignay 
Bilberry
whortleberry 
Bilimbi 
Biriba 
Bitter melon
Black cherry 
Black raspberry 
Black Mulberry 
Black Sapote 
Black Walnut 
Blackberry
Blue tongue 
Bolwarra 
Bottle Gourd
Calabash 
Brazilian Guava 
Breadnut 
Broad-leaf Bramble 
Brazilian Guava 
Brush cherry 
Buffaloberry 
Burdekin Plum 
Burmese grape
Latka 
Button Mangosteen 
Caimito 
Canistel 
Cape Gooseberry 
Capuli cherry 
Carambola 
Carob 
Cashew apple 
Cassabanana 
Cattley Guava 
Cawesh 
Cedar Bay cherry 
Ceriman 
Ceylon gooseberry 
Charichuelo 
Chayote 
Che 
Chempedak
Champedak 
Chenet 
Cherimoya 
Cherry
Chilean guava 
Chinese jujube 
Chinese Olive 
Chinese Quince 
Chokeberry 
Chokecherry 
Chupa-Chupa 
Citron 
Clementine 
Cloudberry 
Cluster fig 
Cocky apple 
Coco Plum 
Cocona 
Coconut 
Cocoplum 
Coffee 
Cola nut 
apple-berry 
Conkerberry 
Cornelian cherry 
Costa Rican Guava 
Cranberry 
Crowberry 
Cupuac_u 
Currant 
Curry-leaf Tree 
Custard Apple 
Damson plum 
Date 
Date plum 
Davidson's plum 
Dead Man's Fingers
Desert fig 
Desert lime 
Dodder laurel 
Doubah 
Double Coconut
Coco-de-mer
Duku 
Durian 
Eastern May Hawthorn 
Elephant Apple 
Emu Apple 
Falberry 
False-mastic 
Fibrous Satinash 
Fig 
Finger Lime 
Florida strangler fig 
Gambooge 
Genip 
Giant Colombian blackberry 
Giant Granadilla 
Goumi 
Grape
Grapefruit 
Ground Plum 
Guanabana 
Guava
strawberry
Hackberry 
Hardy Kiwi 
Hog Plum 
Horned melon 
Huckleberry 
Huito 
Ice Cream Bean 
Ilama 
Illawarra Plum 
Indian gooseberry 
Indian prune 
Jabuticaba 
Jambul 
Japanese Persimmon
Sharon fruit 
Jatoba_ 
Jujube 
Juniper berry 
Kabosu 
Kaffir lime 
Kahikatea 
Kakadu lime 
Kakadu plum 
Kapok 
Karkalla 
Karonda 
Kei apple 
Kepel fruit 
Key Lime 
Kitembilla 
Kiwifruit 
Kumquat 
Kumquat
Kutjera 
Kwai Muk 
Lady apple 
Lakoocha 
Langsat 
Lapsi 
Lemon 
Lemon aspen 
Lillypilly 
Limeberry 
Limequat 
Loganberry 
Longan 
Louvi 
Lu_cuma 
Lychee 
Ma-praang 
Mabolo 
Macadamia 
Madrono 
Malabar plum 
Malay Apple 
Mamey Sapote 
Mammee Apple 
Mamoncillo 
Mangaba 
Mango 
Mangosteen 
Manila tamarind 
Manoao 
Maqui 
Marula 
Breadnut
Maypop 
Meiwa Kumquat 
Midyim 
Miracle Fruit 
Mock Strawberry or Indian Strawberry 
Monkey Jackfruit 
Monkey Tamarind 
Monstera 
Mora Comun 
Mora de Castilla 
Mortino
Andean blueberry 
Mountain pepper 
Mountain Soursop 
Mulberry 
Mundu 
Muntries 
Muscadine 
Naartjie 
Nagami Kumquat 
Nance 
Native currant 
Native gooseberry 
Native raspberry 
Neem 
Nere 
Nonda plum 
Noni 
Oil Palm 
Orange
Oroblanco 
Otaheite gooseberry 
Palmyra Palm
Toddy Palm 
Papaya 
Passion fruit
Granadilla 
Pawpaw 
Peach 
Peach palm 
Peanut 
Peanut butter fruit 
Pear
Pecan 
Pepino 
Pequi 
Peumo 
Phalsa 
Pigeon plum 
Pigface 
Pili Nut 
Pindo Palm 
Pineapple 
Pineapple guava 
Pink-flowered Native Raspberry 
Pistachio 
Pitomba 
Pois doux 
Pomegranate 
Pomelo 
Pommecythere
pomcite 
Pommerac 
Prickly pear 
Pummelo 
Pumpkin 
Pupunha 
Purple apple-berry 
Purple granadilla 
Purple Guava 
Purple Mombin 
Quandong 
Quince 
Raisin tree 
Rambutan 
Raspberry
Red granadilla 
Red Mulberry 
Rhubarb 
Riberry 
Rollinia 
Rose Apple 
Rose hip
Rose-leaf Bramble 
Rose myrtle 
Rough Shell Macadamia 
Rowan 
Safou 
Sageretia 
Saguaro 
Salak 
Salal 
Salmonberry 
Sandpaper Fig 
Santol 
Sapodilla 
Saskatoonberry 
Saw Palmetto 
Sea-buckthorn 
Sea Grape 
Serviceberry or Saskatoon 
Shipova 
Sloe 
Small-leaf tamarind 
Snow berry 
Soncoya 
Service tree 
Soursop 
Southern Crabapple 
Spanish lime 
Spanish tamarind 
Spiny Monkey-orange 
Star Apple 
Strawberry 
Strawberry Guava 
Sugar Apple 
Surinam Cherry 
Sweet Granadilla 
Sweet Lemon 
Sweetsop 
Sycamore fig 
Tahitian apple 
Tamarillo
Tree Tomato 
Tanjong 
Texas Persimmon 
To_tara 
Toyon 
Tropical Almond 
Ugni 
Vanilla 
Velvet Tamarind 
Wampee 
Water Apple 
Watermelon 
Wax apple 
Wax Gourd
winter melon 
Wax jambu 
White aspen 
White Mulberry 
White Sapote 
Wild grape 
Wild orange 
Wild peach 
Wild plum 
Wild plum 
Wild Mangosteen 
Wineberry 
Wolfberry 
Wood Apple 
Yangmei 
Yantok
rattan fruit 
Yellow Granadilla 
Yellow Mombin 
Yew 
Zig Zag Vine 
